date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:13	48211/48211	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:04:07%20GMT	https://www.organisationsolutions.com/services/coaching/programme-coaching	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/services/coaching/programme-coaching.html	(from https://www.organisationsolutions.com/)
17:03:17	47927/47927	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:04:10%20GMT	https://www.organisationsolutions.com/services/coaching/coach-profiles	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/services/coaching/coach-profiles.html	(from https://www.organisationsolutions.com/)
17:03:20	38984/38984	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:04:14%20GMT	https://www.organisationsolutions.com/services/leadership-development	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/services/leadership-development.html	(from https://www.organisationsolutions.com/)
17:03:24	47842/47842	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:04:18%20GMT	https://www.organisationsolutions.com/services/leadership-development/leap	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/services/leadership-development/leap.html	(from https://www.organisationsolutions.com/)
17:03:28	47951/47951	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:04:22%20GMT	https://www.organisationsolutions.com/services/leadership-development/leading-to-win	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/services/leadership-development/leading-to-win.html	(from https://www.organisationsolutions.com/)
17:03:32	48828/48828	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:04:26%20GMT	https://www.organisationsolutions.com/services/growth-leader-assessment	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/services/growth-leader-assessment.html	(from https://www.organisationsolutions.com/)
17:03:36	49924/49924	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:04:29%20GMT	https://www.organisationsolutions.com/services/team-services	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/services/team-services.html	(from https://www.organisationsolutions.com/)
17:03:53	50622/50622	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:04:47%20GMT	https://www.organisationsolutions.com/insights/perspectives/how-jabil-is-developing-tomorrow's-leaders-today	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/insights/perspectives/how-jabil-is-developing-tomorrow's-leaders-today.html	(from https://www.organisationsolutions.com/)
17:04:10	48048/48048	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:05:03%20GMT	https://www.organisationsolutions.com/insights/perspectives/assessment-are-you-investing-in-all-the-wrong-places	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/insights/perspectives/assessment-are-you-investing-in-all-the-wrong-places.html	(from https://www.organisationsolutions.com/)
17:04:27	46612/46612	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202018%2015:05:21%20GMT	https://www.organisationsolutions.com/insights/perspectives/alignment-overrules-cooperation	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/insights/perspectives/alignment-overrules-cooperation.html	(from https://www.organisationsolutions.com/)
